Scientific name,Common name,"IUCN Red List(2017)Category","IUCN RedList (2018)Category","Reason forchange","Red Listversion"
Oreophryne nana,Camiguin Cross Frog,DD,NT,N,2018-1
Osornophryne talipes,Cannatella's Plump Toad,EN,VU,N,2018-1
Pelophryne albotaeniata,White-striped Flathead Toad,EN,VU,N,2018-1
Pelophryne api,,EN,LC,N,2018-2
Philautus acutirostris,Pointed-snouted Tree Frog,VU,LC,N,2018-2
Philautus acutus,Raspy Bush Frog,VU,LC,N,2018-1
Philautus amoenus,Kamboranga Bush Frog,VU,LC,N,2018-1
Philautus bunitus,Green Bush Frog,VU,LC,N,2018-1
Philautus cornutus,Horned Bubble-nest Frog,DD,EN,N,2018-2
Philautus disgregus,Disparate Bush Frog,EN,NT,N,2018-2
Philautus everetti,Everett's Flying Frog,NT,EN,N,2018-2
Philautus gunungensis,,VU,LC,N,2018-1
Philautus hosii,Borneo Bubble-nest Frog,NT,LC,N,2018-1
Philautus leitensis,MIndanao Bush Frog,VU,LC,N,2018-2
Philautus poecilius,,VU,LC,N,2018-1
Philautus saueri,Sauer’s Bush Frog,VU,LC,N,2018-1
Philautus similis,,EN,DD,N,2018-1
Philautus surrufus,Molted Tree Frog,EN,NT,N,2018-1
